target,rmse,mae,r2,val_rmse
target_1d,0.011814952818442354,0.0083856022442236,-0.022742232767341886,0.017256825788665688
target_2d,0.015392461401546856,0.01112105008325276,-0.047413575972720334,0.021750470482644824
target_3d,0.018403439448064128,0.013906946082580517,-0.0748166075422858,0.025322367429675707
target_4d,0.020221113195744038,0.01561106643360378,-0.11150128412760574,0.028319758832406977
target_5d,0.022499234635978905,0.017692184440501423,-0.147914625784197,0.03293285128333277
